id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.37..Cheiroseius,4,1.902975033,0,0.004233064,0.010243259,2,pred 
X.38..Lasioseius,9,7.811034414,0,0.004231707,0.189219029,6,pred 
X.40..Cosmolaelaps,15,8.070538804,159,0.005720516,0.607269184,1,pred 
X.41..Geolaelaps,3,2.4955167,536,0.003137886,5.20E-05,7,pred 
X.42..Laelaspis,4,4,0,0.25,1.07E-16,8,pred 
X.43..Ololaelaps,24,-7.117600875,276.1666667,0.006210676,0.953900333,1,pred 
X.44..Alloparasitus,13,11.55802856,17,0.004375095,0.260924943,6,pred 
X.1..Archoplophora,6,4.995402243,156,0.004472241,0.086220914,1,fungi
X.2..Eohypochthonius,12,8.90075216,12,0.0055842,0.500930251,1,pred 
X.3..Hypochthonius,17,13.51410663,48.04166667,0.005326928,0.463801925,6,pred 
X.6..Meristacarus,10,10,0,0.1,0,5,fungi
X.7..Mixacarus,5,2.700478343,0,0.005204264,0.05705759,2,fungi
X.8..Papillacarus,5,2.705666946,650,0.004485893,0.014342771,2,fungi
X.9..Lohmannia,10,10,0,0.1,0,5,fungi
X.10..Eulohmannia,8,-6.813507989,686,0.005459098,0.086499749,2,fungi
X.12..Epilohmannia,12,1.736260809,108,0.005013764,0.327270344,6,decomp
X.13..Microtritia,4,4,0,0.25,1.12E-16,8,fungi
X.14..Rhysotritia,3,2.626946205,68,0.002667976,3.38E-06,7,fungi
X.15..Acrotritia,10,6.93935696,234,0.005680617,0.304840906,1,fungi
X.17..Phthiracarus,16,8.926392925,22,0.005291606,0.685322106,1,fungi
X.18..Steganacarus,3,2.464751509,0,0.002065773,4.86E-08,7,fungi
X.19..Hoplophthiracarus,6,5.425261151,47.66666667,0.002351376,2.76E-07,7,fungi
X.20..Hoplophorella,3,3,0,0.333333333,3.60E-17,9,fungi
X.22..Platynothrus,17,13.51410663,48.04166667,0.005326928,0.463801925,6,decomp
X.23..Heminothrus,17,13.51410663,48.04166667,0.005326928,0.463801925,6,decomp
X.24..Nothrus,5,4.265478457,2,0.00414621,0.107079607,6,fungi
X.25..Crotonia,17,13.51410663,48.04166667,0.005326928,0.463801925,6,decomp
X.26..Holonothrus,3,3,0,0.333333333,3.54E-17,9,decomp
X.28..Allonothrus,13,9.950451931,37.66666667,0.005165394,0.395326796,6,fungi
X.29..Afronothrus,3,3,0,0.333333333,6.95E-17,9,decomp
X.31..Trhypochthonius,3,2.610608002,33,0.004034737,0.037918155,2,fungi
X.32..Malaconothrus,23,15.26325509,133.75,0.006148817,0.919815093,1,fungi
X.34..Nanhermannia,3,0.951076252,0,0.00413097,0.006220738,2,fungi
X.35..Cyrthermannia,11,9.742594877,68,0.005677694,0.383854209,1,fungi
X.36..Hermannia,10,10,0,0.1,0,5,decomp
X.37..Hermanniella,12,5.679026775,6,0.005057905,0.469229949,1,decomp
X.38..Plasmobates,10,10,0,0.1,0,5,decomp
X.40..Epidamaeus,6,5.425261151,47.66666667,0.002351376,2.76E-07,7,fungi
X.41..Eremulus,13,9.950451931,37.66666667,0.005165394,0.395326796,6,fungi
X.42..Eremobelba,9,7.876120268,42.5,0.004304455,0.162670808,6,fungi
X.45..Eremaeus,11,9.742594877,68,0.005677694,0.383854209,1,fungi
X.46..Liacarus,1,-0.845154255,0,0.003402811,0.004504714,1,decomp
X.47..Ceratoppia,6,5.149359116,340,0.002705912,3.39E-06,7,decomp
X.49..Pyroppia,10,10,0,0.1,0,5,decomp
X.50..Cultroribula,3,0.861674542,59,0.004182164,0.00580801,2,fungi
X.52..Gustavia,0,0,0,NA,1.76E-19,11,decomp
X.53..Carabodes,6,5.425261151,47.66666667,0.002351376,2.76E-07,7,decomp
X.54..Nippobodes,2,2,0,0.5,5.20E-17,10,decomp
X.55..Dolicheremaeus,10,10,0,0.1,0,5,fungi
X.58..Suctobelbella,5,2.705666946,198,0.005215472,0.078514697,2,fungi
X.60..Oppia,12,10.41032213,52,0.004375764,0.241772313,6,pred 
X.61..Oppiella,12,7.468385917,197,0.005581706,0.498250086,1,pred 
X.62..Ramusella,2,0.102449537,0,0.003910725,0.033501406,1,pred 
X.63..Arcoppia,17,10.33471739,2,0.005806943,0.77307005,1,pred 
X.64..Microppia,16,8.926392925,22,0.005291606,0.685322106,1,pred 
X.66..Lasiobelba,27,-6.202438908,196.8333333,0.005793135,1,1,pred 
X.67..Lauroppia,2,2,0,0.5,2.80E-17,10,pred 
X.69..Tectocepheus,11,6.359884607,6,0.004823938,0.38744361,1,decomp
X.70..Scutovertex,9,6.157197725,80.75,0.004997189,0.308650538,1,decomp
X.71..Neoribates,13,6.704900645,10.33333333,0.005481625,0.497746359,1,fungi
X.72..Protokalumma,17,10.33471739,2,0.005806943,0.77307005,1,fungi
X.74..Scheloribates,9,4.14214491,139,0.005372167,0.277320735,6,fungi
X.75..Perscheloribates,8,6.849780815,0,0.004348651,0.175378182,6,fungi
X.76..Mochlozetes,10,10,0,0.1,0,5,decomp
X.77..Rostrozetes,9,6.157197725,80.75,0.004997189,0.308650538,1,fungi
X.78..Incabates,7,4.341847756,4,0.004690426,0.209365686,1,fungi
X.79..Paraxylobates,4,4,0,0.25,7.97E-17,8,fungi
X.80..Peloribates,2,1.634872659,74,0.003545565,0.005007007,3,fungi
X.81..Xylobates,5,2.518879938,74,0.004322768,0.07475649,1,fungi
X.82..Protoribates,17,12.10554123,0.5,0.00578074,0.754991365,1,fungi
X.83..Perxylobates,10,10,0,0.1,0,5,fungi
X.84..Setoxylobates,13,6.704900645,10.33333333,0.005481625,0.497746359,1,fungi
X.85..Vilhenabates,22,15.70415872,647,0.00649323,0.758231099,1,fungi
X.86..Ceratozetes,3,0.889206199,1,0.004331763,0.068510192,1,pred 
X.87..Galumna,13,6.704900645,10.33333333,0.005481625,0.497746359,1,fungi
X.88..Pergalumna,18,12.4960976,116,0.005745259,0.734887052,1,fungi
X.89..Trichogalumna,1,0.853310335,0,1.171906584,1.36E-17,4,fungi
