id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.70..Scutovertex,6,5.444231017,0,0.006780054,0.132992254,7,decomp
X.71..Neoribates,4,3.622660186,6,0.005046326,0.000988966,4,fungi
X.72..Protokalumma,21,15.81618767,0,0.008431898,0.969624526,6,fungi
X.74..Scheloribates,2,0.01354949,19,0.004671203,0.000539844,2,fungi
X.75..Perscheloribates,19,13.3154917,141,0.008503786,0.723627876,6,fungi
X.77..Rostrozetes,18,14.30630251,51,0.008036526,0.809717644,6,fungi
X.80..Peloribates,24,18.10852953,112.5333333,0.00931765,1,6,fungi
X.81..Xylobates,4,3.434770578,111,0.006279755,0.017114752,4,fungi
X.84..Setoxylobates,20,15.66513765,85.5,0.00876688,0.813784285,1,fungi
X.85..Vilhenabates,3,0.748243285,0,0.006375154,0.046634412,1,fungi
X.87..Galumna,10,8.746751559,181,0.007777201,0.271481649,1,fungi
X.89..Trichogalumna,24,19.81825209,52.86666667,0.00929278,0.974071405,6,fungi
X.90..Porogalumnella,15,11.81400768,44,0.007981471,0.702350172,6,fungi
X.91..Galumnella,21,15.81618767,0,0.008431898,0.969624526,6,fungi
